BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,11987,11987,11987
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,11986,11986,11986
Contact period start time (s):,0,0,0
Contact period end time (s):,11.986,11.986,11.986
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:26:37",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,6.784023,1.920783,707.3908
0.001,6.824923,1.96116,706.918076
0.002,6.784662,1.919895,708.500832
0.003,6.824923,1.919895,708.183769
0.004,6.905956,1.678071,708.354988
0.005,6.744402,1.840471,708.81839
0.006,6.542843,1.758827,708.185402
0.007,6.78479,1.919895,707.255287
0.008,6.784918,2.000207,708.507202
0.009,6.461938,1.878186,708.514717
0.01,6.864928,1.71845,708.515388
0.011,6.582848,2.039697,709.143166
0.012,6.582975,2.000207,709.147797
0.013,6.784279,1.839583,707.569893
0.014,6.703757,1.919007,708.985855
0.015,6.784023,2.000207,708.831169
0.016,6.663369,2.159499,708.991234
0.017,6.583103,1.878186,709.626045
0.018,6.825051,2.241143,710.580399
0.019,6.78479,2.320567,710.101891
0.02,6.743762,1.958497,710.101067
0.021,6.744146,2.239367,711.212402
0.022,7.14752,1.877742,712.006279
0.023,6.703629,2.400434,711.214523
0.024,6.703757,1.95761,711.059296
0.025,6.865311,2.198989,711.526863
0.026,6.704269,2.157724,710.588234
0.027,6.945449,2.358282,710.589203
0.028,6.784662,2.359169,710.591019
0.029,6.58272,2.318791,711.697395
0.03,6.623364,2.318348,712.806114
0.031,6.622853,2.47764,711.700829
0.032,6.623236,2.359169,710.747841
0.033,6.582975,2.439037,711.382301
0.034,6.744402,2.318348,712.01902
0.035,6.341284,2.478527,712.167519
0.036,6.824923,2.43815,712.500504
0.037,6.542715,2.599661,711.543671
0.038,6.583103,2.640483,713.126114
0.039,6.744146,2.478527,712.653374
0.04,6.502071,2.760728,713.443329
0.041,6.664008,2.677754,712.504578
0.042,6.744529,2.719019,713.923393
0.043,6.824923,2.920465,712.182419
0.044,6.905445,2.999889,712.497536
0.045,6.784407,2.919133,713.138885
0.046,6.704141,2.757178,712.977631
0.047,6.945961,3.079313,713.607208
0.048,6.905572,3.120135,713.14196
0.049,6.905572,3.120579,712.977264
0.05,6.744657,2.959511,713.13707
0.051,6.905572,2.998557,712.982872
0.052,6.784662,2.999889,712.82132
0.053,7.027122,2.798444,713.453316
0.054,6.986222,3.159625,713.613396
0.055,7.066999,2.999889,714.086479
0.056,6.865567,3.039379,714.722466
0.057,6.744402,2.877867,713.146774
0.058,7.026865,3.080201,713.776131
0.059,6.986222,2.999445,715.199905
0.06,6.905572,2.878755,715.202248
0.061,6.865439,2.838377,714.25769
0.062,7.14752,2.880087,714.567253
0.063,6.986349,3.160956,714.729843
0.064,6.986222,2.838377,715.050476
0.065,7.107259,3.120135,714.576103
0.066,6.945833,2.839265,715.045097
