BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,12983,12983,12983
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,12982,12982,12982
Contact period start time (s):,0,0,0
Contact period end time (s):,12.982,12.982,12.982
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:25:05",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,5.001961,-0.031286,715.743652
0.001,5.283658,0.089848,717.000526
0.002,5.082355,0.250915,716.524498
0.003,5.324302,0.289518,716.3685
0.004,5.485473,0.530453,717.47715
0.005,5.647027,0.370274,716.851891
0.006,5.44534,0.489188,716.846786
0.007,5.647027,0.609878,717.961044
0.008,5.768192,0.730567,716.374199
0.009,5.80807,0.609434,717.021965
0.01,6.171438,0.932456,716.849434
0.011,5.969624,0.850369,717.497276
0.012,6.050401,1.011881,718.128815
0.013,6.131178,1.011881,718.282669
0.014,6.413258,1.091305,718.285133
0.015,6.211699,1.090861,716.541313
0.016,6.575068,1.212439,718.131477
0.017,6.454286,1.252373,718.130104
0.018,6.534807,1.532354,717.499893
0.019,6.898048,1.532798,717.653938
0.02,7.099479,1.533686,716.70916
0.021,7.059475,1.532798,715.760849
0.022,7.220773,1.773734,716.393669
0.023,7.341555,1.772846,717.036636
0.024,7.422204,1.693422,716.397728
0.025,7.744801,1.89398,716.720078
0.026,7.946616,2.053715,716.879021
0.027,7.866095,1.89398,716.090492
0.028,8.027521,1.894867,716.402534
0.029,8.189075,1.612666,714.831543
0.03,8.430639,1.854933,714.517464
0.031,8.79388,1.735131,714.986412
0.032,8.59181,1.694753,714.993889
0.033,8.834269,1.854933,713.734779
0.034,8.834524,1.734243,714.057579
0.035,8.834269,1.695197,712.785858
0.036,9.116477,1.696529,714.367325
0.037,8.995823,1.494639,713.585182
0.038,9.23777,1.333128,713.745949
0.039,9.157121,1.413884,712.311157
0.04,9.479718,1.334459,712.313324
0.041,9.358936,1.254148,712.959602
0.042,9.479974,1.654819,711.856445
0.043,9.640633,1.736907,712.325073
0.044,9.560239,1.454705,712.006706
0.045,9.681149,1.574507,712.166298
0.046,9.681405,1.613997,711.852501
0.047,9.882964,1.534573,712.485191
0.048,9.883091,1.736019,710.749855
0.049,10.125039,1.654819,711.379753
0.05,10.326726,2.015113,709.642159
0.051,10.528285,2.016445,710.585686
0.052,10.406992,1.856709,710.750999
0.053,10.205688,2.256936,709.490456
0.054,10.32647,2.336804,709.647766
0.055,10.649195,2.096313,710.599602
0.056,10.649195,2.056378,708.383713
0.057,10.729844,2.217002,710.75544
0.058,10.608678,2.256493,710.29319
0.059,10.891271,2.337248,709.500084
0.06,10.770105,2.49876,708.71154
0.061,10.810621,2.658052,708.708961
0.062,10.931403,2.57774,709.81881
0.063,11.052697,2.256936,707.286331
0.064,11.052313,2.457494,710.131813
0.065,10.971536,2.738364,708.23687
0.066,11.052441,2.938478,708.55529
0.067,10.850243,2.817344,708.558716
0.068,11.052057,2.69621,707.603233
0.069,11.092318,2.618118,708.082832
0.07,11.213356,2.817344,707.60273
0.071,11.092446,3.018346,708.242783
0.072,11.132323,2.898543,707.289101
0.073,11.09219,2.817344,705.716988
0.074,11.011541,3.178969,705.559029
0.075,11.051673,3.058724,707.13768
0.076,11.172711,3.219347,704.609802
0.077,11.333754,3.459839,704.136887
0.078,11.333626,3.381303,704.616661
0.079,11.333626,3.620907,704.921974
0.08,11.1722,3.540595,703.662788
0.081,11.454664,3.459839,703.816689
0.082,11.656095,3.540151,702.874832
0.083,11.535058,3.540595,704.297157
0.084,11.655839,3.500217,704.77121
0.085,11.494669,3.460727,703.9814
0.086,11.494541,3.420349,703.662857
0.087,11.454408,3.421237,702.56057
0.088,11.454536,3.300103,703.82328
0.089,11.535058,3.340037,702.723724
0.09,11.535058,3.259725,702.248062
0.091,11.535058,3.379971,702.235962
0.092,11.212077,3.340481,700.818359
0.093,11.454025,3.340481,700.826363
0.094,11.131172,3.139035,700.504562
0.095,11.090784,3.260613,700.189667
0.096,11.090655,3.340925,700.655861
0.097,11.413636,3.624014,698.133652
0.098,11.453641,3.138592,699.392311
0.099,11.171177,3.379971,700.344208
0.1,11.131044,3.01879,697.179878
0.101,11.171049,2.819119,698.12616
0.102,11.171049,3.099989,699.080498
0.103,11.131044,3.099102,697.655693
0.104,11.171177,2.899875,697.502785
0.105,11.292087,3.060499,697.814468
0.106,11.21067,3.259725,698.284775
0.107,11.130533,2.818232,696.871437
0.108,10.969106,2.819119,698.125031
0.109,11.090016,2.458382,697.342392
0.11,10.928334,2.539137,698.286079
0.111,10.686515,2.537362,696.702209
0.112,10.928334,2.697098,696.229317
0.113,10.565477,2.658052,694.488602
0.114,10.283013,2.497872,695.750542
0.115,10.081326,2.176625,695.431297
0.116,10.162103,2.256936,695.436241
0.117,10.040937,2.41756,695.119957
0.118,10.000549,2.137134,694.791603
0.119,9.879128,2.337692,694.318848
0.12,9.596663,1.936576,693.215424
0.121,9.314455,2.096756,694.796196
0.122,9.394848,2.177512,694.476707
0.123,9.112641,2.016889,693.370956
0.124,9.112641,2.058154,693.998039
0.125,9.072252,2.136691,693.994957
0.126,8.870309,2.217446,693.204674
0.127,9.3142,1.937464,692.730904
0.128,9.071996,2.056823,692.570663
0.129,8.708627,1.977398,692.72747
0.13,8.507324,1.736019,692.410767
0.131,8.749272,1.695641,692.568207
0.132,8.466296,1.775509,692.402702
0.133,8.385902,1.694753,693.194954
0.134,8.224732,1.615773,692.408798
0.135,8.184471,1.374837,692.248672
0.136,7.94214,1.535017,692.554916
0.137,7.821103,1.495971,692.240448
0.138,7.619671,1.214657,691.605392
0.139,7.780842,1.133458,690.031128
0.14,7.578899,1.093968,692.230698
0.141,7.256046,1.05359,691.440689
0.142,7.01461,0.934232,692.544838
0.143,7.054743,0.974165,692.709373
0.144,7.336823,0.933344,693.496521
0.145,6.732147,0.73323,692.543808
0.146,6.691374,0.573938,693.490807
0.147,6.530459,0.612984,693.327423
0.148,6.449682,0.411539,692.057327
0.149,5.96566,0.171491,693.009224
0.15,5.96566,0.130669,693.799011
0.151,5.804873,0.171047,693.791962
0.152,5.603186,0.010423,693.481277
0.153,5.48202,-0.189247,693.319733
0.154,5.239561,-0.430626,693.79232
0.155,5.199428,-0.55176,692.686089
0.156,5.320082,-0.711496,693.152275
0.157,4.957225,-0.671562,694.258858
0.158,4.916837,-0.831298,694.577553
0.159,4.795671,-0.752317,694.10025
0.16,4.554107,-1.113943,694.410919
0.161,4.553595,-1.353547,695.675453
0.162,4.351781,-1.394813,694.245255
0.163,4.230871,-1.273235,693.614281
0.164,4.150221,-1.434746,694.241829
0.165,4.190738,-1.434746,693.606712
0.166,3.988795,-1.715616,693.765846
0.167,3.827624,-1.634861,694.55352
0.168,3.665943,-1.836306,694.861404
0.169,3.786853,-1.835862,695.020714
0.17,3.464511,-1.83675,695.175537
0.171,3.585166,-1.83675,696.440407
0.172,3.343729,-1.917505,696.272781
0.173,3.302702,-2.156665,695.961914
0.174,3.343346,-2.078129,696.273438
0.175,3.101143,-2.117619,695.950127
0.176,2.737901,-2.118063,695.945511
0.177,2.65738,-2.118507,697.368347
0.178,2.697513,-2.238309,695.152969
0.179,2.374661,-1.997374,696.102562
0.18,2.334527,-2.199263,697.042122
0.181,2.172973,-2.199263,697.987442
0.182,1.93077,-2.03997,696.40094
