BioWare Version 5.3.2.9 Export,,,
Device:,Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901),Force Plate 2 9281CA (SN>616901)
Samples (#):,9563,9563,9563
Rate (Hz):,1000,1000,1000
Contact period start (sample #):,0,0,0
Contact period end (sample #):,9551,9551,9551
Contact period start time (s):,0,0,0
Contact period end time (s):,9.551,9.551,9.551
First sample time (s):,0,0,0
Normalized force (N):,800,800,800
Normalized length (m):,1,1,1
File Information,,,
Date,"Jun 20, 2019  10:27:20",,
Name,,,
ID,,,
Classification,,,
Description,,,
abs time (s),Fx,Fy,Fz
,N,N,N
0,10.467798,-15.753738,707.855225
0.001,10.468181,-15.592227,707.5383
0.002,10.22585,-15.793672,708.012543
0.003,10.548575,-15.471981,709.121063
0.004,10.589091,-15.672982,709.115814
0.005,10.468181,-15.873096,708.009445
0.006,10.428177,-15.793228,707.057053
0.007,10.588835,-15.834493,709.113724
0.008,10.387276,-15.995117,708.321426
0.009,10.66974,-15.794559,709.112396
0.01,10.750134,-16.116251,707.206802
0.011,10.790523,-15.954295,709.423401
0.012,10.669357,-16.035051,708.157578
0.013,10.710001,-16.156185,709.571411
0.014,10.750006,-16.074542,709.420929
0.015,10.50857,-16.075429,711.469009
0.016,10.58858,-16.235165,710.045227
0.017,10.387148,-16.274655,710.363632
0.018,10.62948,-16.276875,709.570053
0.019,10.427026,-16.236497,710.353928
0.02,10.265983,-16.477876,709.244278
0.021,10.104429,-16.437943,710.982056
0.022,10.346888,-16.317252,712.085175
0.023,9.983775,-16.23694,711.450546
0.024,10.064424,-16.156185,713.026581
0.025,10.185462,-16.31814,711.923767
0.026,10.185078,-15.875759,713.179779
0.027,9.862609,-15.755513,713.342346
0.028,9.90287,-15.637043,713.325104
0.029,9.701055,-15.838044,713.647156
0.03,9.943514,-15.476419,714.279282
0.031,9.70131,-15.196437,713.795273
0.032,9.701438,-15.477307,713.156494
0.033,9.620917,-15.437373,713.786224
0.034,9.540012,-14.915123,713.467545
0.035,9.459235,-14.797097,714.105896
0.036,9.580273,-14.514895,715.51564
0.037,9.499496,-14.51534,714.2547
0.038,9.25742,-14.395538,713.769394
0.039,9.015345,-14.035244,713.456833
0.04,9.176388,-13.753043,713.610123
0.041,9.177027,-13.555148,712.805023
0.042,9.05535,-13.152701,713.284637
0.043,9.015089,-12.992521,713.282196
0.044,9.015217,-12.832341,711.38353
0.045,9.05535,-12.471603,713.268295
0.046,8.652232,-12.672605,711.697464
0.047,8.974701,-12.311867,711.523178
0.048,8.652359,-12.272377,710.733841
0.049,8.81353,-11.711082,710.895844
0.05,8.611971,-11.831328,710.730331
0.051,8.490933,-11.711082,709.459427
0.052,8.450545,-11.672035,708.349792
0.053,8.571582,-11.390278,708.663101
0.054,8.571327,-11.270033,707.551788
0.055,8.692364,-11.109853,707.709564
0.056,8.651848,-10.907964,706.754883
0.057,8.571582,-10.748227,706.43161
0.058,8.450672,-10.709625,706.116333
0.059,8.651976,-10.427868,704.69136
0.06,8.410284,-10.227753,705.012238
0.061,8.571582,-9.867016,704.524734
0.062,8.450545,-9.304832,703.574692
0.063,8.491061,-9.225852,703.725937
0.064,8.53145,-9.024851,703.569458
0.065,8.652104,-9.064785,702.457108
0.066,8.611971,-8.944095,702.461884
0.067,8.692492,-8.542536,701.823288
0.068,8.733137,-8.263441,700.868851
0.069,8.813914,-7.981684,700.707245
0.07,8.652232,-7.419501,699.911392
0.071,8.773397,-7.539303,699.75798
0.072,8.732881,-7.300587,699.118744
0.073,8.733137,-7.138632,698.006302
0.074,8.692748,-6.738404,696.274452
0.075,8.491317,-6.81916,697.052124
0.076,8.773653,-6.457534,696.093521
0.077,8.692748,-6.298242,696.260513
0.078,8.531706,-6.016041,696.417976
0.079,8.41054,-5.775105,695.625565
0.08,8.410796,-5.895795,694.346107
0.081,8.410796,-5.455633,694.502289
0.082,8.28963,-5.374877,692.448418
0.083,8.128587,-5.09312,691.96666
0.084,8.370663,-5.134385,691.968483
0.085,7.725214,-5.214697,691.016876
0.086,7.886896,-5.094451,689.428627
0.087,7.725469,-4.61258,690.379105
0.088,7.564427,-4.574421,688.946671
0.089,7.362612,-4.452844,686.576752
0.09,7.362996,-4.293995,687.835693
0.091,7.363124,-3.650169,687.357216
0.092,7.000138,-3.771303,684.831108
0.093,6.919489,-3.651501,685.450653
0.094,6.95975,-3.40879,684.185165
0.095,6.71793,-2.848382,683.239357
0.096,6.677797,-3.089762,682.922951
